geometry,OBJECTID,Shape,CAPTURE,ACQ_MONTH,ACQ_YEAR,RUN,RUN_ALPHA,PHOTO,F_PLANE,F,HAGL,SCALE,Shape_Length,Shape_Area,MISSING
Geocortex.Gis.Geometries.Polygon,343,,1997,MAR,1997,1,None,39,0.23,0.1532,1600,0,9607.56228918437,5769078.32119957,
Geocortex.Gis.Geometries.Polygon,344,,1997,MAR,1997,1,None,40,0.23,0.1532,1600,0,9607.61206607205,5769138.10067022,
Geocortex.Gis.Geometries.Polygon,345,,1997,MAR,1997,1,None,41,0.23,0.1532,1600,0,9607.6646724979,5769201.27860615,
Geocortex.Gis.Geometries.Polygon,346,,1997,MAR,1997,1,None,42,0.23,0.1532,1600,0,9607.72448083683,5769273.10613629,
Geocortex.Gis.Geometries.Polygon,347,,1997,MAR,1997,1,None,43,0.23,0.1532,1600,0,9607.78311881749,5769343.52853882,
Geocortex.Gis.Geometries.Polygon,348,,1997,MAR,1997,1,None,44,0.23,0.1532,1600,0,9607.83569847343,5769406.67540539,
Geocortex.Gis.Geometries.Polygon,349,,1997,MAR,1997,1,None,45,0.23,0.1532,1600,0,9607.88819796316,5769469.72630809,
Geocortex.Gis.Geometries.Polygon,350,,1997,MAR,1997,1,None,46,0.23,0.1532,1600,0,9607.93996834557,5769531.90206661,
Geocortex.Gis.Geometries.Polygon,351,,1997,MAR,1997,1,None,47,0.23,0.1532,1600,0,9607.99039540463,5769592.46478994,
Geocortex.Gis.Geometries.Polygon,352,,1997,MAR,1997,1,None,48,0.23,0.1532,1600,0,9608.03797522402,5769649.60825918,
Geocortex.Gis.Geometries.Polygon,353,,1997,MAR,1997,1,None,49,0.23,0.1532,1600,0,9608.08307530703,5769703.77379135,
Geocortex.Gis.Geometries.Polygon,354,,1997,MAR,1997,1,None,50,0.23,0.1532,1600,0,9608.12342606884,5769752.23555694,
Geocortex.Gis.Geometries.Polygon,355,,1997,MAR,1997,1,None,51,0.23,0.1532,1600,0,9608.16746527797,5769805.12743271,
Geocortex.Gis.Geometries.Polygon,356,,1997,MAR,1997,1,None,52,0.23,0.1532,1600,0,9608.21096944977,5769857.37694952,
Geocortex.Gis.Geometries.Polygon,357,,1997,MAR,1997,1,None,53,0.23,0.1532,1600,0,9608.25185598638,5769906.48282316,
Geocortex.Gis.Geometries.Polygon,358,,1997,MAR,1997,1,None,54,0.23,0.1532,1600,0,9608.29309901158,5769956.01709885,
Geocortex.Gis.Geometries.Polygon,359,,1997,MAR,1997,1,None,55,0.23,0.1532,1600,0,9608.33667167527,5770008.34957975,
Geocortex.Gis.Geometries.Polygon,360,,1997,MAR,1997,1,None,56,0.23,0.1532,1600,0,9608.37975110366,5770060.08989383,
Geocortex.Gis.Geometries.Polygon,361,,1997,MAR,1997,1,None,57,0.23,0.1532,1600,0,9608.42477716865,5770114.16845758,
Geocortex.Gis.Geometries.Polygon,362,,1997,MAR,1997,1,None,58,0.23,0.1532,1600,0,9608.4700126667,5770168.4988126,
Geocortex.Gis.Geometries.Polygon,363,,1997,MAR,1997,1,None,59,0.23,0.1532,1600,0,9608.5165001728,5770224.33317223,
Geocortex.Gis.Geometries.Polygon,364,,1997,MAR,1997,1,None,60,0.23,0.1532,1600,0,9608.55454545816,5770270.02811147,
Geocortex.Gis.Geometries.Polygon,365,,1997,MAR,1997,1,None,61,0.23,0.1532,1600,0,9608.59659939063,5770320.53791295,
Geocortex.Gis.Geometries.Polygon,366,,1997,MAR,1997,1,None,62,0.23,0.1532,1600,0,9608.64055643072,5770373.33370506,
Geocortex.Gis.Geometries.Polygon,367,,1997,MAR,1997,1,None,63,0.23,0.1532,1600,0,9608.68327579497,5770424.64318178,
Geocortex.Gis.Geometries.Polygon,368,,1997,MAR,1997,1,None,64,0.23,0.1532,1600,0,9608.73001640558,5770480.78276446,
Geocortex.Gis.Geometries.Polygon,369,,1997,MAR,1997,1,None,41,0.23,0.1532,1600,0,9607.91377522628,5769500.44440893,
Geocortex.Gis.Geometries.Polygon,370,,1997,MAR,1997,1,None,42,0.23,0.1532,1600,0,9608.04308498019,5769655.74505168,
Geocortex.Gis.Geometries.Polygon,371,,1997,MAR,1997,1,None,43,0.23,0.1532,1600,0,9608.07573244356,5769694.95491644,
Geocortex.Gis.Geometries.Polygon,372,,1997,MAR,1997,1,None,44,0.23,0.1532,1600,0,9608.16530585117,5769802.5339239,
Geocortex.Gis.Geometries.Polygon,373,,1997,MAR,1997,1,None,45,0.23,0.1532,1600,0,9607.70297668306,5769247.28041104,
Geocortex.Gis.Geometries.Polygon,374,,1997,MAR,1997,1,None,46,0.23,0.1532,1600,0,9607.66459569315,5769201.18634712,
Geocortex.Gis.Geometries.Polygon,375,,1997,MAR,1997,1,None,47,0.23,0.1532,1600,0,9607.65680634336,5769191.83166819,
Geocortex.Gis.Geometries.Polygon,376,,1997,MAR,1997,1,None,48,0.23,0.1532,1600,0,9607.65680634336,5769191.83166819,
Geocortex.Gis.Geometries.Polygon,750,,1997,MAR,1997,2,None,65,0.23,0.1532,1600,0,9608.68675403869,5770428.82094588,
Geocortex.Gis.Geometries.Polygon,751,,1997,MAR,1997,2,None,66,0.23,0.1532,1600,0,9608.65311695185,5770388.4199996,
Geocortex.Gis.Geometries.Polygon,752,,1997,MAR,1997,2,None,67,0.23,0.1532,1600,0,9608.61482528734,5770342.42868605,
Geocortex.Gis.Geometries.Polygon,753,,1997,MAR,1997,2,None,68,0.23,0.1532,1600,0,9608.57385941034,5770293.22559014,
Geocortex.Gis.Geometries.Polygon,754,,1997,MAR,1997,2,None,69,0.23,0.1532,1600,0,9608.53738014268,5770249.4114319,
Geocortex.Gis.Geometries.Polygon,755,,1997,MAR,1997,2,None,70,0.23,0.1532,1600,0,9608.4982680838,5770202.43529055,
Geocortex.Gis.Geometries.Polygon,756,,1997,MAR,1997,2,None,71,0.23,0.1532,1600,0,9608.4533302468,5770148.46229728,
Geocortex.Gis.Geometries.Polygon,757,,1997,MAR,1997,2,None,72,0.23,0.1532,1600,0,9608.40938831709,5770095.68568189,
Geocortex.Gis.Geometries.Polygon,758,,1997,MAR,1997,2,None,73,0.23,0.1532,1600,0,9608.36404419612,5770041.2252035,
Geocortex.Gis.Geometries.Polygon,759,,1997,MAR,1997,2,None,74,0.23,0.1532,1600,0,9608.32365886173,5769992.72069855,
Geocortex.Gis.Geometries.Polygon,760,,1997,MAR,1997,2,None,75,0.23,0.1532,1600,0,9608.28422740652,5769945.36203341,
Geocortex.Gis.Geometries.Polygon,761,,1997,MAR,1997,2,None,76,0.23,0.1532,1600,0,9608.244049294,5769897.10680775,
Geocortex.Gis.Geometries.Polygon,762,,1997,MAR,1997,2,None,77,0.23,0.1532,1600,0,9608.20363162982,5769848.56407921,
Geocortex.Gis.Geometries.Polygon,763,,1997,MAR,1997,2,None,78,0.23,0.1532,1600,0,9608.16609422575,5769803.48080036,
Geocortex.Gis.Geometries.Polygon,764,,1997,MAR,1997,2,None,79,0.23,0.1532,1600,0,9608.12577489693,5769755.05654067,
Geocortex.Gis.Geometries.Polygon,765,,1997,MAR,1997,2,None,80,0.23,0.1532,1600,0,9608.08880719412,5769710.65784118,
Geocortex.Gis.Geometries.Polygon,766,,1997,MAR,1997,2,None,81,0.23,0.1532,1600,0,9608.0493533069,5769663.27338567,
Geocortex.Gis.Geometries.Polygon,767,,1997,MAR,1997,2,None,82,0.23,0.1532,1600,0,9608.00899632339,5769614.80452406,
Geocortex.Gis.Geometries.Polygon,768,,1997,MAR,1997,2,None,83,0.23,0.1532,1600,0,9607.95458504054,5769549.45666983,
Geocortex.Gis.Geometries.Polygon,769,,1997,MAR,1997,2,None,84,0.23,0.1532,1600,0,9607.90072479945,5769484.77094533,
Geocortex.Gis.Geometries.Polygon,770,,1997,MAR,1997,2,None,85,0.23,0.1532,1600,0,9607.85963404457,5769435.4215716,
Geocortex.Gis.Geometries.Polygon,771,,1997,MAR,1997,2,None,86,0.23,0.1532,1600,0,9607.82088912601,5769388.88973301,
Geocortex.Gis.Geometries.Polygon,772,,1997,MAR,1997,2,None,87,0.23,0.1532,1600,0,9607.78277625424,5769343.11712487,
Geocortex.Gis.Geometries.Polygon,773,,1997,MAR,1997,2,None,88,0.23,0.1532,1600,0,9607.73719709292,5769288.37792699,
Geocortex.Gis.Geometries.Polygon,774,,1997,MAR,1997,2,None,89,0.23,0.1532,1600,0,9607.69170123666,5769233.73903819,
Geocortex.Gis.Geometries.Polygon,775,,1997,MAR,1997,2,None,90,0.23,0.1532,1600,0,9607.64737062158,5769180.49980274,
Geocortex.Gis.Geometries.Polygon,776,,1997,MAR,1997,2,None,91,0.23,0.1532,1600,0,9607.61040030331,5769136.1001658,
Geocortex.Gis.Geometries.Polygon,777,,1997,MAR,1997,2,None,92,0.23,0.1532,1600,0,9607.57449012082,5769092.97386667,
Geocortex.Gis.Geometries.Polygon,1183,,1997,MAR,1997,3,None,93,0.23,0.1532,1600,0,9607.50546835547,5769010.08268395,
Geocortex.Gis.Geometries.Polygon,1184,,1997,MAR,1997,3,None,94,0.23,0.1532,1600,0,9607.54147672027,5769053.32659085,
Geocortex.Gis.Geometries.Polygon,1185,,1997,MAR,1997,3,None,95,0.23,0.1532,1600,0,9607.58380087219,5769104.15558419,
Geocortex.Gis.Geometries.Polygon,1186,,1997,MAR,1997,3,None,96,0.23,0.1532,1600,0,9607.62804943993,5769157.29592996,
Geocortex.Gis.Geometries.Polygon,1187,,1997,MAR,1997,3,None,97,0.23,0.1532,1600,0,9607.67355416701,5769211.94511016,
Geocortex.Gis.Geometries.Polygon,1188,,1997,MAR,1997,3,None,98,0.23,0.1532,1600,0,9607.71716837896,5769264.32411406,
Geocortex.Gis.Geometries.Polygon,1189,,1997,MAR,1997,3,None,99,0.23,0.1532,1600,0,9607.76244211104,5769318.69636165,
Geocortex.Gis.Geometries.Polygon,1190,,1997,MAR,1997,3,None,100,0.23,0.1532,1600,0,9607.79910700415,5769362.72991629,
Geocortex.Gis.Geometries.Polygon,1191,,1997,MAR,1997,3,None,101,0.23,0.1532,1600,0,9607.83694420855,5769408.17152068,
Geocortex.Gis.Geometries.Polygon,1192,,1997,MAR,1997,3,None,102,0.23,0.1532,1600,0,9607.87663352342,5769455.83764459,
Geocortex.Gis.Geometries.Polygon,1193,,1997,MAR,1997,3,None,103,0.23,0.1532,1600,0,9607.93939145337,5769531.20926829,
Geocortex.Gis.Geometries.Polygon,1194,,1997,MAR,1997,3,None,104,0.23,0.1532,1600,0,9608.00156318813,5769605.87728533,
Geocortex.Gis.Geometries.Polygon,1195,,1997,MAR,1997,3,None,105,0.23,0.1532,1600,0,9608.05012245218,5769664.19709871,
Geocortex.Gis.Geometries.Polygon,1196,,1997,MAR,1997,3,None,107,0.23,0.1532,1600,0,9608.11958238591,5769747.61922057,
Geocortex.Gis.Geometries.Polygon,1197,,1997,MAR,1997,3,None,108,0.23,0.1532,1600,0,9608.15959133711,5769795.67068822,
Geocortex.Gis.Geometries.Polygon,1198,,1997,MAR,1997,3,None,109,0.23,0.1532,1600,0,9608.19858707249,5769842.50545235,
Geocortex.Gis.Geometries.Polygon,1199,,1997,MAR,1997,3,None,110,0.23,0.1532,1600,0,9608.23692022202,5769888.54458541,
Geocortex.Gis.Geometries.Polygon,1200,,1997,MAR,1997,3,None,111,0.23,0.1532,1600,0,9608.28456242623,5769945.76442012,
Geocortex.Gis.Geometries.Polygon,1201,,1997,MAR,1997,3,None,112,0.23,0.1532,1600,0,9608.33662879365,5770008.29812885,
Geocortex.Gis.Geometries.Polygon,1202,,1997,MAR,1997,3,None,113,0.23,0.1532,1600,0,9608.3877255231,5770069.66760476,
Geocortex.Gis.Geometries.Polygon,1203,,1997,MAR,1997,3,None,114,0.23,0.1532,1600,0,9608.43886637496,5770131.09039816,
Geocortex.Gis.Geometries.Polygon,1204,,1997,MAR,1997,3,None,115,0.23,0.1532,1600,0,9608.49226600084,5770195.2264339,
Geocortex.Gis.Geometries.Polygon,1205,,1997,MAR,1997,3,None,116,0.23,0.1532,1600,0,9608.53350225686,5770244.7538416,
Geocortex.Gis.Geometries.Polygon,1206,,1997,MAR,1997,3,None,117,0.23,0.1532,1600,0,9608.57827132849,5770298.5246513,
Geocortex.Gis.Geometries.Polygon,1207,,1997,MAR,1997,3,None,118,0.23,0.1532,1600,0,9608.61993156684,5770348.56173752,
Geocortex.Gis.Geometries.Polygon,1208,,1997,MAR,1997,3,None,119,0.23,0.1532,1600,0,9608.66178086301,5770398.82607462,
Geocortex.Gis.Geometries.Polygon,1209,,1997,MAR,1997,3,None,120,0.23,0.1532,1600,0,9608.69954406209,5770444.1828597,
Geocortex.Gis.Geometries.Polygon,1676,,1997,MAR,1997,4,None,122,0.23,0.1532,1600,0,9608.65019698698,5770384.91286257,
Geocortex.Gis.Geometries.Polygon,1677,,1997,MAR,1997,4,None,123,0.23,0.1532,1600,0,9608.61113163853,5770337.99231233,
Geocortex.Gis.Geometries.Polygon,1678,,1997,MAR,1997,4,None,124,0.23,0.1532,1600,0,9608.56791368731,5770286.08435498,
Geocortex.Gis.Geometries.Polygon,1679,,1997,MAR,1997,4,None,125,0.23,0.1532,1600,0,9608.52125155664,5770230.03994532,
Geocortex.Gis.Geometries.Polygon,1680,,1997,MAR,1997,4,None,126,0.23,0.1532,1600,0,9608.47679299006,5770176.64243971,
Geocortex.Gis.Geometries.Polygon,1681,,1997,MAR,1997,4,None,127,0.23,0.1532,1600,0,9608.42552407874,5770115.0656235,
Geocortex.Gis.Geometries.Polygon,1682,,1997,MAR,1997,4,None,128,0.23,0.1532,1600,0,9608.37680594359,5770056.55269813,
Geocortex.Gis.Geometries.Polygon,1683,,1997,MAR,1997,4,None,129,0.23,0.1532,1600,0,9608.32444100303,5769993.66010877,
Geocortex.Gis.Geometries.Polygon,1684,,1997,MAR,1997,4,None,130,0.23,0.1532,1600,0,9608.27054236876,5769928.92581709,
Geocortex.Gis.Geometries.Polygon,1685,,1997,MAR,1997,4,None,131,0.23,0.1532,1600,0,9608.21935627543,5769867.44974099,
Geocortex.Gis.Geometries.Polygon,1686,,1997,MAR,1997,4,None,132,0.23,0.1532,1600,0,9608.17941439374,5769819.47860104,
Geocortex.Gis.Geometries.Polygon,1687,,1997,MAR,1997,4,None,133,0.23,0.1532,1600,0,9608.14302648474,5769775.77599309,
Geocortex.Gis.Geometries.Polygon,1688,,1997,MAR,1997,4,None,134,0.23,0.1532,1600,0,9608.1008970701,5769725.17791322,
Geocortex.Gis.Geometries.Polygon,1689,,1997,MAR,1997,4,None,135,0.23,0.1532,1600,0,9608.06422898738,5769681.13914606,
Geocortex.Gis.Geometries.Polygon,1690,,1997,MAR,1997,4,None,136,0.23,0.1532,1600,0,9608.02369257463,5769632.45467506,
Geocortex.Gis.Geometries.Polygon,1691,,1997,MAR,1997,4,None,137,0.23,0.1532,1600,0,9607.95382834303,5769548.54787347,
Geocortex.Gis.Geometries.Polygon,1692,,1997,MAR,1997,4,None,138,0.23,0.1532,1600,0,9607.88780819545,5769469.25831987,
Geocortex.Gis.Geometries.Polygon,1693,,1997,MAR,1997,4,None,139,0.23,0.1532,1600,0,9607.84227406672,5769414.57260131,
Geocortex.Gis.Geometries.Polygon,1694,,1997,MAR,1997,4,None,140,0.23,0.1532,1600,0,9607.80444189405,5769369.1370052,
Geocortex.Gis.Geometries.Polygon,1695,,1997,MAR,1997,4,None,141,0.23,0.1532,1600,0,9607.77021452344,5769328.03083441,
Geocortex.Gis.Geometries.Polygon,1696,,1997,MAR,1997,4,None,142,0.23,0.1532,1600,0,9607.72646686162,5769275.4912832,
Geocortex.Gis.Geometries.Polygon,1697,,1997,MAR,1997,4,None,143,0.23,0.1532,1600,0,9607.68585008639,5769226.71203221,
Geocortex.Gis.Geometries.Polygon,1698,,1997,MAR,1997,4,None,144,0.23,0.1532,1600,0,9607.64967421868,5769183.26631992,
Geocortex.Gis.Geometries.Polygon,1699,,1997,MAR,1997,4,None,145,0.23,0.1532,1600,0,9607.61275016857,5769138.92223815,
Geocortex.Gis.Geometries.Polygon,1700,,1997,MAR,1997,4,None,146,0.23,0.1532,1600,0,9607.5740866405,5769092.48930271,
Geocortex.Gis.Geometries.Polygon,1701,,1997,MAR,1997,4,None,147,0.23,0.1532,1600,0,9607.53576233426,5769046.46393719,
Geocortex.Gis.Geometries.Polygon,1702,,1997,MAR,1997,4,None,148,0.23,0.1532,1600,0,9607.50431261804,5769008.69467126,
Geocortex.Gis.Geometries.Polygon,1703,,1997,MAR,1997,4,None,149,0.23,0.1532,1600,0,9607.47900858913,5768978.30609132,
Geocortex.Gis.Geometries.Polygon,2244,,1997,MAR,1997,5,None,150,0.23,0.1532,1600,0,9607.30695597531,5768771.68400229,
Geocortex.Gis.Geometries.Polygon,2245,,1997,MAR,1997,5,None,151,0.23,0.1532,1600,0,9607.35697069369,5768831.74741129,
Geocortex.Gis.Geometries.Polygon,2246,,1997,MAR,1997,5,None,152,0.23,0.1532,1600,0,9607.40773925859,5768892.71647163,
Geocortex.Gis.Geometries.Polygon,2247,,1997,MAR,1997,5,None,153,0.23,0.1532,1600,0,9607.45257286983,5768946.55842684,
Geocortex.Gis.Geometries.Polygon,2248,,1997,MAR,1997,5,None,154,0.23,0.1532,1600,0,9607.4902524071,5768991.80916968,
Geocortex.Gis.Geometries.Polygon,2249,,1997,MAR,1997,5,None,155,0.23,0.1532,1600,0,9607.53059298445,5769040.25581,
Geocortex.Gis.Geometries.Polygon,2250,,1997,MAR,1997,5,None,156,0.23,0.1532,1600,0,9607.5675275096,5769084.6121216,
Geocortex.Gis.Geometries.Polygon,2251,,1997,MAR,1997,5,None,157,0.23,0.1532,1600,0,9607.60907224335,5769134.50522362,
Geocortex.Gis.Geometries.Polygon,2252,,1997,MAR,1997,5,None,158,0.23,0.1532,1600,0,9607.6487825059,5769182.19541146,
Geocortex.Gis.Geometries.Polygon,2253,,1997,MAR,1997,5,None,159,0.23,0.1532,1600,0,9607.68584326429,5769226.70384102,
Geocortex.Gis.Geometries.Polygon,2254,,1997,MAR,1997,5,None,160,0.23,0.1532,1600,0,9607.72205336097,5769270.19083387,
Geocortex.Gis.Geometries.Polygon,2255,,1997,MAR,1997,5,None,161,0.23,0.1532,1600,0,9607.75909035354,5769314.67106079,
Geocortex.Gis.Geometries.Polygon,2256,,1997,MAR,1997,5,None,162,0.23,0.1532,1600,0,9607.79422662286,5769356.86873648,
Geocortex.Gis.Geometries.Polygon,2257,,1997,MAR,1997,5,None,163,0.23,0.1532,1600,0,9607.82722357096,5769396.49727767,
Geocortex.Gis.Geometries.Polygon,2258,,1997,MAR,1997,5,None,164,0.23,0.1532,1600,0,9607.85712188979,5769432.40455801,
Geocortex.Gis.Geometries.Polygon,2259,,1997,MAR,1997,5,None,165,0.23,0.1532,1600,0,9607.90248875678,5769486.88947052,
Geocortex.Gis.Geometries.Polygon,2260,,1997,MAR,1997,5,None,166,0.23,0.1532,1600,0,9607.95897902039,5769554.73378354,
Geocortex.Gis.Geometries.Polygon,2261,,1997,MAR,1997,5,None,167,0.23,0.1532,1600,0,9608.01440451329,5769621.29964318,
Geocortex.Gis.Geometries.Polygon,2262,,1997,MAR,1997,5,None,168,0.23,0.1532,1600,0,9608.05224849144,5769666.75046214,
Geocortex.Gis.Geometries.Polygon,2263,,1997,MAR,1997,5,None,169,0.23,0.1532,1600,0,9608.08525161233,5769706.38753068,
Geocortex.Gis.Geometries.Polygon,2264,,1997,MAR,1997,5,None,170,0.23,0.1532,1600,0,9608.11871077429,5769746.57243146,
Geocortex.Gis.Geometries.Polygon,2265,,1997,MAR,1997,5,None,172,0.23,0.1532,1600,0,9608.18579952195,5769827.14725087,
Geocortex.Gis.Geometries.Polygon,2266,,1997,MAR,1997,5,None,173,0.23,0.1532,1600,0,9608.21704532555,5769864.67416111,
Geocortex.Gis.Geometries.Polygon,2267,,1997,MAR,1997,5,None,174,0.23,0.1532,1600,0,9608.26229820233,5769919.02426716,
Geocortex.Gis.Geometries.Polygon,2268,,1997,MAR,1997,5,None,175,0.23,0.1532,1600,0,9608.31288668115,5769979.78291013,
Geocortex.Gis.Geometries.Polygon,2269,,1997,MAR,1997,5,None,176,0.23,0.1532,1600,0,9608.3646118499,5770041.90703626,
Geocortex.Gis.Geometries.Polygon,2270,,1997,MAR,1997,5,None,177,0.23,0.1532,1600,0,9608.40846574165,5770094.57769151,
